calendar_date,day_of_week,holiday_flg_sg,holiday_flg_cn,holiday_flg_in
2023-01-01,Sunday,1,1,1
2023-01-02,Monday,1,1,1
2023-01-03,Tuesday,0,0,0
2023-01-04,Wednesday,0,0,0
2023-01-05,Thursday,0,0,0
2023-01-06,Friday,0,0,0
2023-01-07,Saturday,0,0,0
2023-01-08,Sunday,0,0,0
2023-01-09,Monday,0,0,0
2023-01-10,Tuesday,0,0,0
2023-01-11,Wednesday,0,0,0
2023-01-12,Thursday,0,0,0
2023-01-13,Friday,0,0,0
2023-01-14,Saturday,0,0,0
2023-01-15,Sunday,0,0,0
2023-01-16,Monday,0,0,0
2023-01-17,Tuesday,0,0,0
2023-01-18,Wednesday,0,0,0
2023-01-19,Thursday,0,0,0
2023-01-20,Friday,0,0,0
2023-01-21,Saturday,0,1,0
2023-01-22,Sunday,1,1,1
2023-01-23,Monday,1,1,1
2023-01-24,Tuesday,1,1,1
2023-01-25,Wednesday,0,1,0
2023-01-26,Thursday,0,1,0
2023-01-27,Friday,0,1,0
2023-01-28,Saturday,0,0,0
2023-01-29,Sunday,0,0,0
2023-01-30,Monday,0,0,0
2023-01-31,Tuesday,0,0,0
2023-02-01,Wednesday,0,0,0
2023-02-02,Thursday,0,0,0
2023-02-03,Friday,0,0,0
2023-02-04,Saturday,0,0,0
2023-02-05,Sunday,0,0,0
2023-02-06,Monday,0,0,0
2023-02-07,Tuesday,0,0,0
2023-02-08,Wednesday,0,0,0
2023-02-09,Thursday,0,0,0
2023-02-10,Friday,0,0,0
2023-02-11,Saturday,0,0,0
2023-02-12,Sunday,0,0,0
2023-02-13,Monday,0,0,0
2023-02-14,Tuesday,0,0,0
2023-02-15,Wednesday,0,0,0
2023-02-16,Thursday,0,0,0
2023-02-17,Friday,0,0,0
2023-02-18,Saturday,0,0,0
2023-02-19,Sunday,0,0,0
2023-02-20,Monday,0,0,0
2023-02-21,Tuesday,0,0,0
2023-02-22,Wednesday,0,0,0
2023-02-23,Thursday,0,0,0
2023-02-24,Friday,0,0,0
2023-02-25,Saturday,0,0,0
2023-02-26,Sunday,0,0,0
2023-02-27,Monday,0,0,0
2023-02-28,Tuesday,0,0,0
2023-03-01,Wednesday,0,0,0
2023-03-02,Thursday,0,0,0
2023-03-03,Friday,0,0,0
2023-03-04,Saturday,0,0,0
2023-03-05,Sunday,0,0,0
2023-03-06,Monday,0,0,0
2023-03-07,Tuesday,0,0,0
2023-03-08,Wednesday,0,0,0
2023-03-09,Thursday,0,0,0
2023-03-10,Friday,0,0,0
2023-03-11,Saturday,0,0,0
2023-03-12,Sunday,0,0,0
2023-03-13,Monday,0,0,0
2023-03-14,Tuesday,0,0,0
2023-03-15,Wednesday,0,0,0
2023-03-16,Thursday,0,0,0
2023-03-17,Friday,0,0,0
2023-03-18,Saturday,0,0,0
2023-03-19,Sunday,0,0,0
2023-03-20,Monday,0,0,0
2023-03-21,Tuesday,0,0,0
2023-03-22,Wednesday,0,0,0
2023-03-23,Thursday,0,0,0
2023-03-24,Friday,0,0,0
2023-03-25,Saturday,0,0,0
2023-03-26,Sunday,0,0,0
2023-03-27,Monday,0,0,0
2023-03-28,Tuesday,0,0,0
2023-03-29,Wednesday,0,0,0
2023-03-30,Thursday,0,0,0
2023-03-31,Friday,0,0,0
2023-04-01,Saturday,0,0,0
2023-04-02,Sunday,0,0,0
2023-04-03,Monday,0,0,0
2023-04-04,Tuesday,0,0,0
2023-04-05,Wednesday,0,1,0
2023-04-06,Thursday,0,0,0
2023-04-07,Friday,1,0,1
2023-04-08,Saturday,0,0,0
2023-04-09,Sunday,0,0,0
2023-04-10,Monday,0,0,0
2023-04-11,Tuesday,0,0,0
2023-04-12,Wednesday,0,0,0
2023-04-13,Thursday,0,0,0
2023-04-14,Friday,0,0,0
2023-04-15,Saturday,0,0,0
2023-04-16,Sunday,0,0,0
2023-04-17,Monday,0,0,0
2023-04-18,Tuesday,0,0,0
2023-04-19,Wednesday,0,0,0
2023-04-20,Thursday,0,0,0
2023-04-21,Friday,0,0,0
2023-04-22,Saturday,1,0,1
2023-04-23,Sunday,0,0,0
2023-04-24,Monday,0,0,0
2023-04-25,Tuesday,0,0,0
2023-04-26,Wednesday,0,0,0
2023-04-27,Thursday,0,0,0
2023-04-28,Friday,0,0,0
2023-04-29,Saturday,0,1,0
2023-04-30,Sunday,0,1,0
2023-05-01,Monday,1,1,1
2023-05-02,Tuesday,0,1,0
2023-05-03,Wednesday,0,1,0
2023-05-04,Thursday,0,0,0
2023-05-05,Friday,0,0,0
2023-05-06,Saturday,0,0,0
2023-05-07,Sunday,0,0,0
2023-05-08,Monday,0,0,0
2023-05-09,Tuesday,0,0,0
2023-05-10,Wednesday,0,0,0
2023-05-11,Thursday,0,0,0
2023-05-12,Friday,0,0,0
2023-05-13,Saturday,0,0,0
2023-05-14,Sunday,0,0,0
2023-05-15,Monday,0,0,0
2023-05-16,Tuesday,0,0,0
2023-05-17,Wednesday,0,0,0
2023-05-18,Thursday,0,0,0
2023-05-19,Friday,0,0,0
2023-05-20,Saturday,0,0,0
2023-05-21,Sunday,0,0,0
2023-05-22,Monday,0,0,0
2023-05-23,Tuesday,0,0,0
2023-05-24,Wednesday,0,0,0
2023-05-25,Thursday,0,0,0
2023-05-26,Friday,0,0,0
2023-05-27,Saturday,0,0,0
2023-05-28,Sunday,0,0,0
2023-05-29,Monday,0,0,0
2023-05-30,Tuesday,0,0,0
2023-05-31,Wednesday,0,0,0
2023-06-01,Thursday,0,0,0
2023-06-02,Friday,1,0,1
2023-06-03,Saturday,0,0,0
2023-06-04,Sunday,0,0,0
2023-06-05,Monday,0,0,0
2023-06-06,Tuesday,0,0,0
2023-06-07,Wednesday,0,0,0
2023-06-08,Thursday,0,0,0
2023-06-09,Friday,0,0,0
2023-06-10,Saturday,0,0,0
2023-06-11,Sunday,0,0,0
2023-06-12,Monday,0,0,0
2023-06-13,Tuesday,0,0,0
2023-06-14,Wednesday,0,0,0
2023-06-15,Thursday,0,0,0
2023-06-16,Friday,0,0,0
2023-06-17,Saturday,0,0,0
2023-06-18,Sunday,0,0,0
2023-06-19,Monday,0,0,0
2023-06-20,Tuesday,0,0,0
2023-06-21,Wednesday,0,0,0
2023-06-22,Thursday,0,1,0
2023-06-23,Friday,0,1,0
2023-06-24,Saturday,0,1,0
2023-06-25,Sunday,0,0,0
2023-06-26,Monday,0,0,0
2023-06-27,Tuesday,0,0,0
2023-06-28,Wednesday,0,0,0
2023-06-29,Thursday,1,0,1
2023-06-30,Friday,0,0,0
2023-07-01,Saturday,0,0,0
2023-07-02,Sunday,0,0,0
2023-07-03,Monday,0,0,0
2023-07-04,Tuesday,0,0,0
2023-07-05,Wednesday,0,0,0
2023-07-06,Thursday,0,0,0
2023-07-07,Friday,0,0,0
2023-07-08,Saturday,0,0,0
2023-07-09,Sunday,0,0,0
2023-07-10,Monday,0,0,0
2023-07-11,Tuesday,0,0,0
2023-07-12,Wednesday,0,0,0
2023-07-13,Thursday,0,0,0
2023-07-14,Friday,0,0,0
2023-07-15,Saturday,0,0,0
2023-07-16,Sunday,0,0,0
2023-07-17,Monday,0,0,0
2023-07-18,Tuesday,0,0,0
2023-07-19,Wednesday,0,0,0
2023-07-20,Thursday,0,0,0
2023-07-21,Friday,0,0,0
2023-07-22,Saturday,0,0,0
2023-07-23,Sunday,0,0,0
2023-07-24,Monday,0,0,0
2023-07-25,Tuesday,0,0,0
2023-07-26,Wednesday,0,0,0
2023-07-27,Thursday,0,0,0
2023-07-28,Friday,0,0,0
2023-07-29,Saturday,0,0,0
2023-07-30,Sunday,0,0,0
2023-07-31,Monday,0,0,0
2023-08-01,Tuesday,0,0,0
2023-08-02,Wednesday,0,0,0
2023-08-03,Thursday,0,0,0
2023-08-04,Friday,0,0,0
2023-08-05,Saturday,0,0,0
2023-08-06,Sunday,0,0,0
2023-08-07,Monday,0,0,0
2023-08-08,Tuesday,0,0,0
2023-08-09,Wednesday,1,0,1
2023-08-10,Thursday,0,0,0
2023-08-11,Friday,0,0,0
2023-08-12,Saturday,0,0,0
2023-08-13,Sunday,0,0,0
2023-08-14,Monday,0,0,0
2023-08-15,Tuesday,0,0,0
2023-08-16,Wednesday,0,0,0
2023-08-17,Thursday,0,0,0
2023-08-18,Friday,0,0,0
2023-08-19,Saturday,0,0,0
2023-08-20,Sunday,0,0,0
2023-08-21,Monday,0,0,0
2023-08-22,Tuesday,0,0,0
2023-08-23,Wednesday,0,0,0
